analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
primary_reproducible_peaks_canonical_tss	genome_wide	SaCas9_NNGRRT	sham_WT	9636	21599	0.4461317653595074	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SaCas9_NNGRRT	stroke_WT	10565	21599	0.48914301588036485	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SpCas9_NGG	homeostatic	8874	21599	0.4108523542756609	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SpCas9_NGG	PP_control	10062	21599	0.46585490068984675	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SpCas9_NGG	PL_acute_LPS	10394	21599	0.48122598268438355	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SpCas9_NGG	LL_tolerized	10278	21599	0.4758553636742442	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SpCas9_NGG	sham_WT	10126	21599	0.46881800083337194	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	SpCas9_NGG	stroke_WT	11157	21599	0.5165516922079726	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	CjCas9_NNNVRYM	homeostatic	8821	21599	0.4083985369693041	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	CjCas9_NNNVRYM	PP_control	10038	21599	0.4647437381360248	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	CjCas9_NNNVRYM	PL_acute_LPS	10374	21599	0.4803000138895319	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	CjCas9_NNNVRYM	LL_tolerized	10252	21599	0.47465160424093705	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	CjCas9_NNNVRYM	sham_WT	10098	21599	0.46752164452057965	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	CjCas9_NNNVRYM	stroke_WT	11133	21599	0.5154405296541507	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	Nme2Cas9_NNNNCC	homeostatic	8755	21599	0.40534283994629383	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	Nme2Cas9_NNNNCC	PP_control	10001	21599	0.46303069586554935	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	Nme2Cas9_NNNNCC	PL_acute_LPS	10338	21599	0.478633270058799	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	Nme2Cas9_NNNNCC	LL_tolerized	10225	21599	0.4734015463678874	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	Nme2Cas9_NNNNCC	sham_WT	10078	21599	0.466595675725728	0.0	0
primary_reproducible_peaks_canonical_tss	genome_wide	Nme2Cas9_NNNNCC	stroke_WT	11104	21599	0.5140978749016158	0.0	0
matched_depth_genrich	therapeutic_panel	Un1Cas12f1_TTTR	homeostatic	22	55	0.4	-0.018181818181818132	3
matched_depth_genrich	therapeutic_panel	Un1Cas12f1_TTTR	PP_control	28	55	0.509090909090909	0.0	0
