#bamPEFragmentSize
Size	Occurrences	Sample
89	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
90	74	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
91	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
92	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
93	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
94	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
95	85	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
96	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
97	75	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
98	90	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
99	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
100	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
101	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
102	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
103	74	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
104	76	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
105	75	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
106	67	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
107	68	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
108	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
109	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
110	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
111	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
112	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
113	56	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
114	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
115	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
116	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
117	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
118	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
119	35	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
120	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
121	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
122	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
123	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
124	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
125	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
126	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
127	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
128	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
129	34	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
130	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
131	38	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
132	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
133	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
134	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
135	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
136	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
137	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
138	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
139	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
140	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
141	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
142	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
143	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
144	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
145	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
146	47	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
147	35	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
148	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
149	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
150	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
151	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
152	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
153	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
154	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
155	39	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
156	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
157	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
158	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
159	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
160	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
161	42	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
162	38	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
163	62	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
164	54	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
165	36	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
166	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
167	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
168	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
169	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
170	41	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
171	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
172	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
173	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
174	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
175	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
176	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
177	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
178	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
179	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
180	57	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
181	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
182	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
183	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
184	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
185	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
186	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
187	80	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
188	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
189	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
190	68	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
191	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
192	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
193	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
194	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
195	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
196	67	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
197	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
198	48	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
199	48	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
200	54	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
201	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
202	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
203	73	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
204	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
205	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
206	73	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
207	71	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
208	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
209	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
210	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
211	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
212	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
213	56	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
214	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
215	73	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
216	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
217	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
218	57	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
219	68	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
220	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
221	43	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
222	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
223	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
224	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
225	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
226	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
227	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
228	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
229	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
230	52	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
231	63	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
232	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
233	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
234	56	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
235	60	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
236	56	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
237	55	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
238	59	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
239	53	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
240	70	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
241	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
242	49	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
243	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
244	50	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
245	48	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
246	58	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
247	40	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
248	64	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
249	49	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
250	47	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
251	44	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
252	42	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
253	35	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
254	61	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
