cas	context	n_genes	genes_with_passing_pam	pct_genes_with_passing_pam	genes_targetable_strict_full_site_in_peak	pct_targetable_strict_full_site_in_peak	genes_with_promoter_midpoint_peak	genes_with_promoter_any_peak_overlap	total_full_site_supported_guides	total_any_overlap_guides
Un1Cas12f1_TTTR	WTC11_rest	53	43	81.1	24	45.3	25	36	61	72
Un1Cas12f1_TTTR	WTC11_IFNb	53	43	81.1	26	49.1	29	36	59	71
Un1Cas12f1_TTTR	H1_rest	53	43	81.1	28	52.8	31	37	74	85
Un1Cas12f1_TTTR	H1_IFNb	53	43	81.1	32	60.4	33	41	75	87
Un1Cas12f1_TTTR	ANY_GSE206479_context	53	43	81.1	32	60.4	NA	NA	NA	NA
Un1Cas12f1_TTTR	ALL_GSE206479_contexts	53	43	81.1	21	39.6	NA	NA	NA	NA
SaCas9_NNGRRT	WTC11_rest	53	52	98.1	34	64.2	25	36	122	135
SaCas9_NNGRRT	WTC11_IFNb	53	52	98.1	34	64.2	29	36	140	153
SaCas9_NNGRRT	H1_rest	53	52	98.1	35	66.0	31	37	146	153
SaCas9_NNGRRT	H1_IFNb	53	52	98.1	37	69.8	33	41	150	163
SaCas9_NNGRRT	ANY_GSE206479_context	53	52	98.1	38	71.7	NA	NA	NA	NA
SaCas9_NNGRRT	ALL_GSE206479_contexts	53	52	98.1	30	56.6	NA	NA	NA	NA
SpCas9_NGG	WTC11_rest	53	53	100.0	35	66.0	25	36	1027	1095
SpCas9_NGG	WTC11_IFNb	53	53	100.0	35	66.0	29	36	1148	1214
SpCas9_NGG	H1_rest	53	53	100.0	37	69.8	31	37	1221	1296
SpCas9_NGG	H1_IFNb	53	53	100.0	41	77.4	33	41	1336	1408
SpCas9_NGG	ANY_GSE206479_context	53	53	100.0	42	79.2	NA	NA	NA	NA
SpCas9_NGG	ALL_GSE206479_contexts	53	53	100.0	31	58.5	NA	NA	NA	NA
CjCas9_NNNVRYM	WTC11_rest	53	53	100.0	35	66.0	25	36	731	812
CjCas9_NNNVRYM	WTC11_IFNb	53	53	100.0	35	66.0	29	36	809	873
CjCas9_NNNVRYM	H1_rest	53	53	100.0	37	69.8	31	37	872	957
CjCas9_NNNVRYM	H1_IFNb	53	53	100.0	41	77.4	33	41	924	1014
CjCas9_NNNVRYM	ANY_GSE206479_context	53	53	100.0	42	79.2	NA	NA	NA	NA
CjCas9_NNNVRYM	ALL_GSE206479_contexts	53	53	100.0	31	58.5	NA	NA	NA	NA
Nme2Cas9_NNNNCC	WTC11_rest	53	53	100.0	35	66.0	25	36	822	877
Nme2Cas9_NNNNCC	WTC11_IFNb	53	53	100.0	35	66.0	29	36	954	1029
Nme2Cas9_NNNNCC	H1_rest	53	53	100.0	37	69.8	31	37	1017	1091
Nme2Cas9_NNNNCC	H1_IFNb	53	53	100.0	41	77.4	33	41	1064	1144
Nme2Cas9_NNNNCC	ANY_GSE206479_context	53	53	100.0	42	79.2	NA	NA	NA	NA
Nme2Cas9_NNNNCC	ALL_GSE206479_contexts	53	53	100.0	31	58.5	NA	NA	NA	NA
